,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Mbps (Media de bajada),HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,ADSL,Cablemodem,Fibra óptica,Wireless,Otros
192,2020,1,Buenos Aires,64.33,45,38215,36802,1122034,236421,247977,205780,1802583,28935.0,673237.0,2210349,720688,85443,18334.0
193,2020,1,Capital Federal,105.98,59,264,312,169651,102254,89665,85899,906009,0.0,184494.0,1097635,38898,3911,28556.0
194,2020,1,Catamarca,37.62,29,63,0,8838,7543,9558,408,10299,2151.0,21945.0,3146,12056,261,2227.0
195,2020,1,Chaco,37.48,26,308,928,23291,19976,29851,10416,28539,6917.0,46356.0,54144,11958,6239,1580.0
196,2020,1,Chubut,51.27,7,158,109,69586,12957,7756,1240,614,4500.0,45763.0,27287,1324,16885,5479.0
197,2020,1,Córdoba,70.69,29,142,5128,217229,120188,95827,65733,296875,9802.0,286168.0,406109,68512,41617,8693.0
198,2020,1,Corrientes,38.73,21,72,527,33479,21382,26679,7351,19467,4780.0,51126.0,53231,2172,2437,5004.0
199,2020,1,Entre Ríos,56.12,19,130,4081,72280,47132,41125,11988,39794,13762.0,90368.0,95434,13245,18737,14062.0
200,2020,1,Formosa,30.23,16,1127,342,23761,6500,6564,964,6918,100.0,21068.0,8887,1800,14510,169.0
201,2020,1,Jujuy,46.67,14,55,182,33120,9979,26693,166,7349,16545.0,32066.0,38938,3078,942,16641.0
202,2020,1,La Pampa,75.77,7,293,811,72740,7199,3029,1342,2113,1618.0,8553.0,53755,13821,11295,1802.0
203,2020,1,La Rioja,46.35,8,21,1,37209,5158,4640,22,1294,0.0,13076.0,34984,0,251,29.0
204,2020,1,Mendoza,33.14,8,58,40,140410,12285,17489,2860,3818,0.0,91955.0,50251,28059,12465,722.0
205,2020,1,Misiones,39.02,22,71,524,36622,21271,26433,11581,26313,10885.0,51458.0,69452,1220,460,10962.0
206,2020,1,Neuquén,61.85,28,218,327,60152,5257,7123,5399,43738,0.0,29305.0,65951,11031,14711,729.0
207,2020,1,Río Negro,55.12,19,114,466,69154,2930,7857,3199,25488,17719.0,47756.0,38479,10381,11222,18362.0
208,2020,1,Salta,49.6,21,129,514,38537,63714,17991,8625,34744,6441.0,60426.0,75593,23025,4125,7212.0
209,2020,1,San Juan,32.39,6,48,194,59787,1594,1292,40,127,4779.0,40092.0,6448,5508,7082,5101.0
210,2020,1,San Luis,76.31,21,105,0,11322,4164,525,58258,5,36075.0,8301.0,7612,5,58301,36333.0
211,2020,1,Santa Cruz,35.97,6,67,11,27447,4993,5169,529,119,0.0,12845.0,15766,1026,6817,2368.0
212,2020,1,Santa Fe,69.52,22,696,2994,217553,196826,104560,48448,173823,17656.0,302366.0,383673,35123,30488,19468.0
